old_name,speaker,label,new_name
165.wav,George W. Bush,spoof,george_w._bush_spoof_165.wav
166.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_166.wav
167.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_167.wav
168.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_168.wav
169.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_169.wav
170.wav,Tucker Carlson,spoof,tucker_carlson_spoof_170.wav
171.wav,Donald Trump,bona-fide,donald_trump_bona-fide_171.wav
172.wav,Ayn Rand,spoof,ayn_rand_spoof_172.wav
173.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_173.wav
174.wav,Alec Guinness,spoof,alec_guinness_spoof_174.wav
175.wav,Nelson Mandela,spoof,nelson_mandela_spoof_175.wav
176.wav,Barack Obama,bona-fide,barack_obama_bona-fide_176.wav
177.wav,JFK,bona-fide,jfk_bona-fide_177.wav
178.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_178.wav
179.wav,Ayn Rand,spoof,ayn_rand_spoof_179.wav
180.wav,Donald Trump,bona-fide,donald_trump_bona-fide_180.wav
181.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_181.wav
182.wav,Ayn Rand,spoof,ayn_rand_spoof_182.wav
183.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_183.wav
184.wav,Barack Obama,spoof,barack_obama_spoof_184.wav
185.wav,Winston Churchill,bona-fide,winston_churchill_bona-fide_185.wav
186.wav,Alec Guinness,spoof,alec_guinness_spoof_186.wav
187.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_187.wav
188.wav,Milton Friedman,spoof,milton_friedman_spoof_188.wav
189.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_189.wav
190.wav,Barack Obama,spoof,barack_obama_spoof_190.wav
191.wav,Mark Zuckerberg,spoof,mark_zuckerberg_spoof_191.wav
192.wav,Winston Churchill,bona-fide,winston_churchill_bona-fide_192.wav
193.wav,The Notorious B.I.G.,spoof,the_notorious_b.i.g._spoof_193.wav
194.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_194.wav
195.wav,Barack Obama,bona-fide,barack_obama_bona-fide_195.wav
196.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_196.wav
197.wav,Barack Obama,bona-fide,barack_obama_bona-fide_197.wav
198.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_198.wav
199.wav,Barack Obama,bona-fide,barack_obama_bona-fide_199.wav
200.wav,Donald Trump,bona-fide,donald_trump_bona-fide_200.wav
201.wav,Donald Trump,bona-fide,donald_trump_bona-fide_201.wav
202.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_202.wav
203.wav,Barack Obama,bona-fide,barack_obama_bona-fide_203.wav
204.wav,Donald Trump,bona-fide,donald_trump_bona-fide_204.wav
205.wav,Donald Trump,bona-fide,donald_trump_bona-fide_205.wav
206.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_206.wav
207.wav,Jerry Seinfeld,spoof,jerry_seinfeld_spoof_207.wav
208.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_208.wav
209.wav,Nelson Mandela,spoof,nelson_mandela_spoof_209.wav
210.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_210.wav
211.wav,Ronald Reagan,spoof,ronald_reagan_spoof_211.wav
212.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_212.wav
213.wav,FDR,bona-fide,fdr_bona-fide_213.wav
214.wav,George W. Bush,spoof,george_w._bush_spoof_214.wav
215.wav,Alec Guinness,spoof,alec_guinness_spoof_215.wav
216.wav,Mark Zuckerberg,bona-fide,mark_zuckerberg_bona-fide_216.wav
217.wav,Richard Nixon,bona-fide,richard_nixon_bona-fide_217.wav
218.wav,Donald Trump,bona-fide,donald_trump_bona-fide_218.wav
219.wav,Donald Trump,bona-fide,donald_trump_bona-fide_219.wav
220.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_220.wav
221.wav,Richard Nixon,bona-fide,richard_nixon_bona-fide_221.wav
222.wav,Donald Trump,bona-fide,donald_trump_bona-fide_222.wav
223.wav,Barack Obama,bona-fide,barack_obama_bona-fide_223.wav
224.wav,John Cleese,spoof,john_cleese_spoof_224.wav
225.wav,Bill Clinton,spoof,bill_clinton_spoof_225.wav
226.wav,Nelson Mandela,spoof,nelson_mandela_spoof_226.wav
227.wav,Barack Obama,bona-fide,barack_obama_bona-fide_227.wav
228.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_228.wav
229.wav,The Notorious B.I.G.,spoof,the_notorious_b.i.g._spoof_229.wav
230.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_230.wav
231.wav,Frank Sinatra,spoof,frank_sinatra_spoof_231.wav
232.wav,Alexandria Ocasio-Cortez,bona-fide,alexandria_ocasio-cortez_bona-fide_232.wav
233.wav,Louis Farrakhan,bona-fide,louis_farrakhan_bona-fide_233.wav
234.wav,Winston Churchill,bona-fide,winston_churchill_bona-fide_234.wav
235.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_235.wav
236.wav,Alec Guinness,spoof,alec_guinness_spoof_236.wav
237.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_237.wav
238.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_238.wav
239.wav,Louis Farrakhan,bona-fide,louis_farrakhan_bona-fide_239.wav
240.wav,JFK,bona-fide,jfk_bona-fide_240.wav
241.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_241.wav
242.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_242.wav
243.wav,Donald Trump,bona-fide,donald_trump_bona-fide_243.wav
244.wav,Barack Obama,bona-fide,barack_obama_bona-fide_244.wav
245.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_245.wav
246.wav,Martin Luther King,spoof,martin_luther_king_spoof_246.wav
247.wav,Norm MacDonald,bona-fide,norm_macdonald_bona-fide_247.wav
248.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_248.wav
249.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_249.wav
250.wav,Donald Trump,bona-fide,donald_trump_bona-fide_250.wav
251.wav,Barack Obama,spoof,barack_obama_spoof_251.wav
252.wav,Queen Elizabeth II,bona-fide,queen_elizabeth_ii_bona-fide_252.wav
253.wav,Alexandria Ocasio-Cortez,spoof,alexandria_ocasio-cortez_spoof_253.wav
254.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_254.wav
255.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_255.wav
256.wav,Winston Churchill,bona-fide,winston_churchill_bona-fide_256.wav
257.wav,Richard Nixon,spoof,richard_nixon_spoof_257.wav
258.wav,Barack Obama,bona-fide,barack_obama_bona-fide_258.wav
259.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_259.wav
260.wav,Donald Trump,bona-fide,donald_trump_bona-fide_260.wav
261.wav,Alec Guinness,spoof,alec_guinness_spoof_261.wav
262.wav,Arnold Schwarzenegger,bona-fide,arnold_schwarzenegger_bona-fide_262.wav
263.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_263.wav
264.wav,Gilbert Gottfried,bona-fide,gilbert_gottfried_bona-fide_264.wav
265.wav,Alec Guinness,spoof,alec_guinness_spoof_265.wav
266.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_266.wav
267.wav,Alec Guinness,spoof,alec_guinness_spoof_267.wav
268.wav,Donald Trump,bona-fide,donald_trump_bona-fide_268.wav
269.wav,Ayn Rand,spoof,ayn_rand_spoof_269.wav
270.wav,Queen Elizabeth II,spoof,queen_elizabeth_ii_spoof_270.wav
271.wav,Ronald Reagan,spoof,ronald_reagan_spoof_271.wav
272.wav,Barack Obama,bona-fide,barack_obama_bona-fide_272.wav
273.wav,Mark Zuckerberg,spoof,mark_zuckerberg_spoof_273.wav
274.wav,Bill Burr,bona-fide,bill_burr_bona-fide_274.wav
275.wav,Alec Guinness,spoof,alec_guinness_spoof_275.wav
276.wav,Barack Obama,bona-fide,barack_obama_bona-fide_276.wav
277.wav,Ayn Rand,spoof,ayn_rand_spoof_277.wav
278.wav,Bill Clinton,spoof,bill_clinton_spoof_278.wav
279.wav,Donald Trump,bona-fide,donald_trump_bona-fide_279.wav
280.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_280.wav
281.wav,Barack Obama,bona-fide,barack_obama_bona-fide_281.wav
282.wav,Ayn Rand,spoof,ayn_rand_spoof_282.wav
283.wav,John Cleese,spoof,john_cleese_spoof_283.wav
284.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_284.wav
285.wav,Winston Churchill,spoof,winston_churchill_spoof_285.wav
286.wav,George Carlin,bona-fide,george_carlin_bona-fide_286.wav
287.wav,Bill Clinton,spoof,bill_clinton_spoof_287.wav
288.wav,Barack Obama,bona-fide,barack_obama_bona-fide_288.wav
289.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_289.wav
290.wav,Donald Trump,bona-fide,donald_trump_bona-fide_290.wav
291.wav,Winston Churchill,bona-fide,winston_churchill_bona-fide_291.wav
292.wav,Bernie Sanders,spoof,bernie_sanders_spoof_292.wav
293.wav,Bernie Sanders,spoof,bernie_sanders_spoof_293.wav
294.wav,Bernie Sanders,spoof,bernie_sanders_spoof_294.wav
295.wav,Dwight Eisenhower,spoof,dwight_eisenhower_spoof_295.wav
296.wav,Alec Guinness,spoof,alec_guinness_spoof_296.wav
297.wav,Malcolm X,spoof,malcolm_x_spoof_297.wav
298.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_298.wav
299.wav,Donald Trump,bona-fide,donald_trump_bona-fide_299.wav
300.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_300.wav
301.wav,Barack Obama,bona-fide,barack_obama_bona-fide_301.wav
302.wav,Alec Guinness,spoof,alec_guinness_spoof_302.wav
303.wav,Louis Farrakhan,spoof,louis_farrakhan_spoof_303.wav
304.wav,Barack Obama,bona-fide,barack_obama_bona-fide_304.wav
305.wav,Martin Luther King,bona-fide,martin_luther_king_bona-fide_305.wav
306.wav,George Carlin,bona-fide,george_carlin_bona-fide_306.wav
307.wav,Ronald Reagan,spoof,ronald_reagan_spoof_307.wav
308.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_308.wav
309.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_309.wav
310.wav,JFK,spoof,jfk_spoof_310.wav
311.wav,Barack Obama,bona-fide,barack_obama_bona-fide_311.wav
312.wav,Christopher Hitchens,spoof,christopher_hitchens_spoof_312.wav
313.wav,Nelson Mandela,bona-fide,nelson_mandela_bona-fide_313.wav
314.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_314.wav
315.wav,Barack Obama,bona-fide,barack_obama_bona-fide_315.wav
316.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_316.wav
317.wav,Arnold Schwarzenegger,spoof,arnold_schwarzenegger_spoof_317.wav
318.wav,Gilbert Gottfried,spoof,gilbert_gottfried_spoof_318.wav
319.wav,Ronald Reagan,spoof,ronald_reagan_spoof_319.wav
320.wav,FDR,bona-fide,fdr_bona-fide_320.wav
321.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_321.wav
322.wav,Barack Obama,bona-fide,barack_obama_bona-fide_322.wav
323.wav,Louis Farrakhan,bona-fide,louis_farrakhan_bona-fide_323.wav
324.wav,Barack Obama,spoof,barack_obama_spoof_324.wav
325.wav,Barack Obama,bona-fide,barack_obama_bona-fide_325.wav
326.wav,Robert Kardashian,bona-fide,robert_kardashian_bona-fide_326.wav
327.wav,Barack Obama,bona-fide,barack_obama_bona-fide_327.wav
328.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_328.wav
329.wav,John Cleese,bona-fide,john_cleese_bona-fide_329.wav
330.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_330.wav
331.wav,Barack Obama,bona-fide,barack_obama_bona-fide_331.wav
332.wav,Malcolm X,bona-fide,malcolm_x_bona-fide_332.wav
333.wav,FDR,bona-fide,fdr_bona-fide_333.wav
334.wav,Barack Obama,bona-fide,barack_obama_bona-fide_334.wav
335.wav,Bill Burr,bona-fide,bill_burr_bona-fide_335.wav
336.wav,Robert Kardashian,bona-fide,robert_kardashian_bona-fide_336.wav
337.wav,Bernie Sanders,bona-fide,bernie_sanders_bona-fide_337.wav
338.wav,Ronald Reagan,spoof,ronald_reagan_spoof_338.wav
339.wav,Ronald Reagan,spoof,ronald_reagan_spoof_339.wav
340.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_340.wav
341.wav,Bill Clinton,spoof,bill_clinton_spoof_341.wav
342.wav,Frank Sinatra,spoof,frank_sinatra_spoof_342.wav
343.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_343.wav
344.wav,Kamala Harris,spoof,kamala_harris_spoof_344.wav
345.wav,Mark Zuckerberg,bona-fide,mark_zuckerberg_bona-fide_345.wav
346.wav,Richard Nixon,spoof,richard_nixon_spoof_346.wav
347.wav,George W. Bush,spoof,george_w._bush_spoof_347.wav
348.wav,Donald Trump,bona-fide,donald_trump_bona-fide_348.wav
349.wav,Alec Guinness,spoof,alec_guinness_spoof_349.wav
350.wav,Winston Churchill,bona-fide,winston_churchill_bona-fide_350.wav
351.wav,Bill Clinton,spoof,bill_clinton_spoof_351.wav
352.wav,Barack Obama,bona-fide,barack_obama_bona-fide_352.wav
353.wav,Orson Welles,spoof,orson_welles_spoof_353.wav
354.wav,Martin Luther King,spoof,martin_luther_king_spoof_354.wav
355.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_355.wav
356.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_356.wav
357.wav,Ronald Reagan,spoof,ronald_reagan_spoof_357.wav
358.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_358.wav
359.wav,Louis Farrakhan,bona-fide,louis_farrakhan_bona-fide_359.wav
360.wav,Barack Obama,bona-fide,barack_obama_bona-fide_360.wav
361.wav,Bill Clinton,spoof,bill_clinton_spoof_361.wav
362.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_362.wav
363.wav,Barack Obama,bona-fide,barack_obama_bona-fide_363.wav
364.wav,Alexandria Ocasio-Cortez,bona-fide,alexandria_ocasio-cortez_bona-fide_364.wav
365.wav,Barack Obama,bona-fide,barack_obama_bona-fide_365.wav
366.wav,Bill Clinton,bona-fide,bill_clinton_bona-fide_366.wav
367.wav,Winston Churchill,bona-fide,winston_churchill_bona-fide_367.wav
368.wav,Arnold Schwarzenegger,spoof,arnold_schwarzenegger_spoof_368.wav
369.wav,Barack Obama,bona-fide,barack_obama_bona-fide_369.wav
370.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_370.wav
371.wav,Louis Farrakhan,bona-fide,louis_farrakhan_bona-fide_371.wav
372.wav,Alec Guinness,spoof,alec_guinness_spoof_372.wav
373.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_373.wav
374.wav,Christopher Hitchens,spoof,christopher_hitchens_spoof_374.wav
375.wav,Alec Guinness,spoof,alec_guinness_spoof_375.wav
376.wav,Alec Guinness,bona-fide,alec_guinness_bona-fide_376.wav
377.wav,Barack Obama,bona-fide,barack_obama_bona-fide_377.wav
378.wav,Ayn Rand,bona-fide,ayn_rand_bona-fide_378.wav
379.wav,Christopher Hitchens,bona-fide,christopher_hitchens_bona-fide_379.wav
380.wav,Alec Guinness,spoof,alec_guinness_spoof_380.wav
381.wav,Barack Obama,bona-fide,barack_obama_bona-fide_381.wav
382.wav,Arnold Schwarzenegger,bona-fide,arnold_schwarzenegger_bona-fide_382.wav
383.wav,Ronald Reagan,bona-fide,ronald_reagan_bona-fide_383.wav
384.wav,Donald Trump,bona-fide,donald_trump_bona-fide_384.wav
385.wav,Louis Farrakhan,bona-fide,louis_farrakhan_bona-fide_385.wav
